ID,gender,feduc,peducd,meduc,meducd,educ,educd,educsubj,score,salary9606,salary1,date1,salary2,date2,salary3,date3,salary4,date4,salary5,date5,salarynow,jobprotection,jobeduc,cpn2014
5223,女,小學,公立,小學,,技術學院或科技大學,私立科技大學,服務領域,,18000,18000,9607,22000,9707,,10203,22000,10309,,,22000,2,高中(職),1
5225,女,國（初）中,,國（初）中,,技術學院或科技大學,公立科技大學,醫藥衛生及社福領域,,10000,7000,9303,10000,9705,12000,9809,27000,10007,27000,10209,28000,4,大學,1
5226,女,一般大學,私立,一般大學,私立,一般大學,私立一般大學,社會科學、商業及法律領域,,25000,25000,10007,25000,10108,28000,10202,,,,,30000,4,大學,1
5243,男,一般大學,公立,一般大學,國外,技術學院或科技大學,私立一般大學,人文及藝術領域,,20000,20000,10101,40000,10302,,,,,,,42000,4,大學,1
5244,男,五專,公立,高中職業科,私立,技術學院或科技大學,私立技職學院,農學領域,,18000,18000,9606,,9609,23000,9806,,10208,33000,10307,33000,5,高中(職),1
5246,男,高中,私立,國（初）中,公立,一般大學,私立一般大學,人文及藝術領域,,18000,18000,9609,,10006,20000,10106,,,,,20000,4,高中(職),1
5249,男,高職,公立,高職,,碩士,私立一般大學,醫藥衛生及社福領域,,20000,20000,10212,,,,,,,,,20000,4,大學,1
5255,男,小學,公立,高職,,技術學院或科技大學,私立科技大學,人文及藝術領域,,23000,23000,10008,,,,,,,,,36000,4,大學,1
5259,男,小學,,小學,,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,15000,15000,10007,,,,,,,,,15000,3,,1
5260,女,五專,,國（初）中,公立,高職,,,,30000,7000,9502,30000,9606,35500,9704,,9804,30000,9909,30000,4,高中(職),1
5261,男,高職,,國（初）中,,碩士,私立科技大學,工程、製造及營造領域,,18500,18500,9607,,9609,2000,10009,,,,,2000,1,碩士,1
5267,女,一般大學,公立,高職,,一般大學,私立一般大學,醫藥衛生及社福領域,,6300,6300,9809,,9910,,10007,30000,10011,37000,10112,37000,4,大學,1
5268,女,國（初）中,公立,國（初）中,公立,高職,,,,19500,16000,9309,,9507,19500,9812,23720,10303,,,30000,4,高中(職),1
5269,男,一般大學,公立,,,一般大學,私立一般大學,工程、製造及營造領域,,0,,,,,,,,,,,,,,1
5271,女,高職,,高職,,技術學院或科技大學,私立技職學院,科學領域,,20000,25000,9602,20000,9808,,,,,,,20000,1,碩士,1
5276,女,小學,公立,高中職業科,公立,國中,,,,0,,,,,,,,,,,,,,1
5282,男,國（初）中,,高中職業科,私立,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,20000,20000,9607,,9609,22000,9707,,9709,23000,9807,32000,4,高中(職),1
